"Serial number","Northern Caves Area","Injection point","Injection point detail","NGRI","Detection point","Detection point detail","NGRD","Tracer","Quantity","Detection method","Time","Distance","Average velocity","Depth","Injection Date","People ","Reference or source","Notes"
1,"Nidderdale","Eglins stream",,"SE093735","Low Eglins Hole","Inlets near entrance","SE094734","Fluorescein","0.5 ounce","Visual",,,,,12/10/1967,"Keith  and  Chesh","1967. Yorkshire Underground Research Team Newsletter 3:57",
2,"Nidderdale","Low Eglins stream way",,"SE094734","",,"","Fluorescein","Not given",,,,,,12/11/1967,,"1967. Yorkshire Underground Research Team newsletter 3:63-64","Not detected at Nidd Heads"
3,"Stump Cross","Big Sink, north of Stump Cross",,"","Stump Cross Cavern","Stream within cave","SE089635","Fluorescein","4.0 ounces","Visual","Half hour ",,,,06/05/1967,"Martin Davies and K. McBride","1967. Yorkshire Underground Research Team newsletter 3:26",
4,"Stump Cross","Hell Hole",,"SE065622","",,"","Fluorescein",,,,,,,,,"Griffiths, J. 1981. Hell Hole. Cambridge Underground  Vol 3 no2 1978 p28","Not seen in Trollers Gill risings 6 hours observation"
5,"Stump Cross","Burhill Mines",,"SD074622"," Trollers Gill","Nape Well","","Mine tailings",,"Visual",,,,,"19th Century",,"Gemmell, A. and Myers, J. 1952. Underground Adventure. Dalesman, Clapham",
6,"Wharfedale","Gill House Valley Grassington Moor",,"SE017670","Grassington, Low Mill",,"SE0068663247","Mine tailings",,"Visual",,"3.89km",,,"late 1950s/early 60s",,"Dickinson, J.M. 1965. Northern Cavern and Mine Research Society Memoirs 1965:1-6",
7,"Great Whernside","How Gill Nick",,"SE0225668666","Not detected",,"","OBA","2 x 5L","Not detected",,,,,1991,,"Camm, C. 2001. How Gill Nick. White Rose Pothole Club Journal 2001:5-6","Not detected"
8,"Great Whernside","Middlesmoor Pasture  S17",,"SD958726","Knipe Wood Main Rising",,"SD97067123","OBA",,"Cottonwool detectors",,"1.86km",,,01/11/1994,,"Ryder, P. 2001. Dye tests on Middlesmoor Pasture, Upper Wharfedale. White Rose Pothole Club Journal 2001:36",
9,"Great Whernside","Middlesmoor Pasture  S18 ",,"","Knipe Wood Main Rising ",,"SD97067123","OBA",,"Cottonwool detectors",,,,,01/12/1994,,"Ryder, P. 2001. Dye tests on Middlesmoor Pasture, Upper Wharfedale. White Rose Pothole Club Journal 2001:36",
10,"Great Whernside","Middlesmoor Pasture  S176",,"SD963718","Knipe Wood Main Rising",,"SD97067123","OBA",,"Cottonwool detectors",,"0.95km",,,01/02/1995,,"Ryder, P. 2001. Dye tests on Middlesmoor Pasture, Upper Wharfedale. White Rose Pothole Club Journal 2001:36",
11,"Great Whernside","Higher Heights Hole",,"SD957645","Tyne Beck Well",,"","OBA","1 litre","Cottonwool detectors",,,,,18/04/1994,,"Cole, A. 2001. Higher Heights Hole dye test. White Rose Pothole Club Journal 2001:36-38","In flood"
